"gridg0","group.id","month","timegroups"
"294658","S332784741",10,"before 2000"
"294658","S64322040",10,"before 2000"
"334973","S48589530",10,"before 2000"
"294658","G7959174",11,"before 2000"
"294658","G7959175",11,"before 2000"
"40500","G8001119",12,"before 2000"
"40500","G8001115",12,"before 2000"
"40500","G8001114",12,"before 2000"
"52841","G8001120",12,"before 2000"
"52841","G8001121",12,"before 2000"
"52191","G8001122",12,"before 2000"
"294658","G7959173",12,"before 2000"
"294658","G7959172",12,"before 2000"
"294658","S315848439",12,"before 2000"
"294658","G8001130",12,"before 2000"
"53493","G8001116",12,"before 2000"
"53493","G8001117",12,"before 2000"
"53493","G8001118",12,"before 2000"
"208054","S299667073",1,"before 2000"
"208054","S299666350",1,"before 2000"
"71038","S48500628",1,"before 2000"
"40500","G8021437",1,"before 2000"
"40500","G8021436",1,"before 2000"
"40500","G8021435",1,"before 2000"
"294658","S124681366",1,"before 2000"
"294658","S201808219",1,"before 2000"
"68794","G8057081",2,"before 2000"
"287211","S132917247",2,"before 2000"
"395353","S94758360",2,"before 2000"
"294658","S94747325",2,"before 2000"
"294658","S40210488",2,"before 2000"
"136736","S57830063",4,"before 2000"
"136736","S57830092",4,"before 2000"
"299629","S98612826",7,"before 2000"
"297234","S89331460",7,"before 2000"
"297234","S89331458",7,"before 2000"
"297234","S89331459",7,"before 2000"
"86659","S39267921",10,"before 2000"
"40500","S57883225",11,"before 2000"
"329788","S22008589",11,"before 2000"
"329787","S21999836",11,"before 2000"
"99718","S20399281",12,"before 2000"
"99717","S20399280",12,"before 2000"
"208056","S54539069",12,"before 2000"
"294658","S48472120",12,"before 2000"
"295308","S68337920",12,"before 2000"
"295308","S68460556",12,"before 2000"
"294658","S210880262",12,"before 2000"
"295308","S68368024",12,"before 2000"
"295308","S68477768",12,"before 2000"
"295308","S68530733",12,"before 2000"
"294658","S210884595",12,"before 2000"
"295308","S67996581",12,"before 2000"
"53493","S36613161",12,"before 2000"
"53493","S36612986",12,"before 2000"
"53493","S36610947",12,"before 2000"
"294658","S320056133",1,"before 2000"
"295308","S68903804",1,"before 2000"
"295308","S68531375",1,"before 2000"
"295308","S68536290",1,"before 2000"
"277735","S37474707",1,"before 2000"
"277735","G2634880",1,"before 2000"
"70386","S319887774",1,"before 2000"
"329138","S319965125",1,"before 2000"
"220160","G3221841",1,"before 2000"
"51551","S57188158",2,"before 2000"
"269312","S28663424",3,"before 2000"
"186280","S279844040",3,"before 2000"
"277735","S104509979",3,"before 2000"
"212753","S24300323",5,"before 2000"
"346042","S57280529",6,"before 2000"
"86659","S36555703",7,"before 2000"
"87959","S36555724",7,"before 2000"
"40500","S6628482",7,"before 2000"
"174960","S57705498",7,"before 2000"
"87959","S32603102",8,"before 2000"
"248335","S302135645",9,"before 2000"
"294658","S69807112",10,"before 2000"
"294658","S69807998",10,"before 2000"
"294658","S69806776",10,"before 2000"
"294658","S69807361",10,"before 2000"
"87959","G2382462",11,"before 2000"
"79506","G6167216",11,"before 2000"
"294658","S7903186",11,"before 2000"
"294658","S7898168",11,"before 2000"
"294658","S50054821",11,"before 2000"
"294658","S286239735",11,"before 2000"
"294658","S7898337",11,"before 2000"
"294658","S7903362",11,"before 2000"
"294658","S7897840",11,"before 2000"
"74301","G6215988",12,"before 2000"
"75600","G6167210",12,"before 2000"
"75599","G6215992",12,"before 2000"
"73000","S80189291",12,"before 2000"
"73650","G6215980",12,"before 2000"
"74300","G6215982",12,"before 2000"
"73000","S80190978",12,"before 2000"
"74950","G6215991",12,"before 2000"
"74950","G6215985",12,"before 2000"
"62584","S57191332",12,"before 2000"
"62584","S57191331",12,"before 2000"
"62584","S57191329",12,"before 2000"
"174960","S56572883",12,"before 2000"
"296853","S9780960",12,"before 2000"
"141948","S20724404",12,"before 2000"
"245116","S75808498",1,"before 2000"
"244465","S75808551",1,"before 2000"
"86659","G2380164",1,"before 2000"
"86659","G2384751",1,"before 2000"
"86659","G2384758",1,"before 2000"
"86659","G2380185",1,"before 2000"
"86659","G2633204",1,"before 2000"
"41151","S80989166",1,"before 2000"
"40500","S80980253",1,"before 2000"
"191232","S19003365",1,"before 2000"
"294658","S57334403",1,"before 2000"
"294658","S291528728",1,"before 2000"
"294658","S130233670",1,"before 2000"
"288004","S129860602",1,"before 2000"
"278383","S129871884",1,"before 2000"
"278383","S130010261",1,"before 2000"
"278384","S130009129",1,"before 2000"
"278383","S130009240",1,"before 2000"
"53493","S80789435",1,"before 2000"
"53493","S80789026",1,"before 2000"
"69088","S82530565",1,"before 2000"
"69086","S80723583",1,"before 2000"
"69086","S80804407",1,"before 2000"
"248335","S302579271",2,"before 2000"
"294658","S82048747",2,"before 2000"
"294658","S82179120",2,"before 2000"
"294658","S82132695",2,"before 2000"
"294658","S82102410",2,"before 2000"
"295308","S82109164",2,"before 2000"
"299445","S67614042",2,"before 2000"
"329788","S82275466",2,"before 2000"
"329788","S82254405",2,"before 2000"
"292948","S81849866",2,"before 2000"
"292297","S81642849",2,"before 2000"
"292297","S81610238",2,"before 2000"
"306756","S98612992",3,"before 2000"
"278385","S24658453",3,"before 2000"
"278384","S24660158",3,"before 2000"
"277735","S24660017",3,"before 2000"
"243759","S302620164",5,"before 2000"
"86009","G2380166",6,"before 2000"
"86659","S36308307",7,"before 2000"
